
 10
  0  65   4   1  25   2 999 999   9  41
 65   0  41  58  50  45  37  25 999  10
  4  41   0 999  29   2  20  26   1  29
  1  58 999   0  16 999  45  53  10  32
 25  50  29  16   0  17  85  85  34  16
  2  45   2 999  17   0  34  40   5  25
999  37  20  45  85  34   0 999  13 999
999  25  26  53  85  40 999   0  17  45
  9 999   1  10  34   5  13  17   0  26
 41  10  29  32  16  25 999  45  26   0
 
  0   4   4   0   7   6   8   7   9   2
  4   0   6   8   7   6   9   0   9   2
  4   6   0   5   0   4   0   0   7   4
  0   8   5   0   5   1   2   3   2   6
  7   7   0   5   0   8   1   2   3   6
  6   6   4   1   8   0   5   1   9   3
  8   9   0   2   1   5   0   9   9   9
  7   0   0   3   2   1   9   0   9   8
  9   9   7   2   3   9   9   9   0   2
  2   2   4   6   6   3   9   8   2   0
 
  4   6   0   8   7   2   3   9   3   1
  9   5   6   6   1   4   8   4   0   0
  6   9   6   9   3   3   2   8   2   8
  0   3   5   0   5   1   7   3   5   4
  5   8   5   4   6   1   7   5   3   9
  1   2   8   8   7   3   2   7   6   3
  5   5   1   3   5   8   2   3   6   2
  6   1   2   4   7   5   1   8   0   9
  2   3   8   7   4   2   4   1   4   9
  4   4   3   0   3   3   7   4   3   1
