
 10
  0  64   9   2   5  18   1  10  16  17
 64   0  25  82  37  34  65  58  80  17
  9  25   0  17   2   9  10  13  25   2
  2  82  17   0   9  32   1   8  10  25
  5  37   2   9   0  17   4   5  13   4
 18  34   9  32  17   0  25  40  58  17
  1  65  10   1   4  25   0   5   9  16
 10  58  13   8   5  40   5   0   2  13
 16  80  25  10  13  58   9   2   0  25
 17  17   2  25   4  17  16  13  25   0
 
  0   6   6   8   3   4   7   9   9   8
  6   0   1   8   2   6   5   4   5   4
  6   1   0   5   0   0   7   0   7   3
  8   8   5   0   6   2   1   6   9   9
  3   2   0   6   0   4   3   1   9   6
  4   6   0   2   4   0   3   6   8   6
  7   5   7   1   3   3   0   3   1   7
  9   4   0   6   1   6   3   0   4   1
  9   5   7   9   9   8   1   4   0   8
  8   4   3   9   6   6   7   1   8   0
 
  5   5   4   8   1   7   1   0   1   6
  6   9   7   4   5   6   3   4   2   6
  8   7   4   7   3   7   7   3   4   0
  0   9   6   1   5   9   7   4   4   8
  0   3   1   0   4   7   6   1   6   0
  1   1   4   3   1   0   2   9   5   9
  5   1   2   2   2   3   9   5   1   8
  6   1   4   3   3   4   2   6   4   2
  8   9   6   2   0   2   9   1   4   2
  6   7   3   3   7   6   5   9   0   1
