
 10
  0  36   5   9  50   2   5  40   8  25
 36   0  65   9   2  26  65   4  20  25
  5  65   0  26  81  13   4  65  25  34
  9   9  26   0  17   5  26  13   5  16
 50   2  81  17   0  40  85   2  34  25
  2  26  13   5  40   0   9  34   2  29
  5  65   4  26  85   9   0  73  17  50
 40   4  65  13   2  34  73   0  32  13
  8  20  25   5  34   2  17  32   0  37
 25  25  34  16  25  29  50  13  37   0
 
  0   2   0   3   2   2   1   1   6   6
  2   0   5   9   8   7   9   3   2   4
  0   5   0   3   2   5   8   4   7   6
  3   9   3   0   0   4   7   2   8   2
  2   8   2   0   0   8   5   0   7   2
  2   7   5   4   8   0   9   6   7   9
  1   9   8   7   5   9   0   7   5   1
  1   3   4   2   0   6   7   0   9   0
  6   2   7   8   7   7   5   9   0   7
  6   4   6   2   2   9   1   0   7   0
 
  7   6   0   2   5   8   3   2   5   9
  2   3   6   7   3   7   9   9   9   7
  8   9   5   0   9   8   5   4   8   5
  4   2   0   1   8   3   8   8   4   0
  9   3   7   8   2   7   7   3   2   3
  4   0   7   5   9   7   5   2   2   6
  5   1   4   0   8   6   9   7   1   7
  9   9   6   6   8   3   3   0   5   2
  2   7   9   2   5   4   3   1   1   3
  2   2   3   6   7   3   0   3   3   2
