  10
   
  0  1  2  2  3  4  4  5  3  5
  1  0  1  1  2  3  3  4  2  4
  2  1  0  2  1  2  2  3  1  3
  2  1  2  0  1  2  2  3  3  3
  3  2  1  1  0  1  1  2  2  2
  4  3  2  2  1  0  2  3  3  1
  4  3  2  2  1  2  0  1  3  1
  5  4  3  3  2  3  1  0  4  2
  3  2  1  3  2  3  3  4  0  4
  5  4  3  3  2  1  1  2  4  0
   
  0  3  4  6  8  5  6  6  5  1
  3  0  6  3  7  9  9  2  2  7
  4  6  0  2  6  4  4  4  2  6
  6  3  2  0  5  5  3  3  9  4
  8  7  6  5  0  4  3  4  5  7
  5  9  4  5  4  0  8  5  5  5
  6  9  4  3  3  8  0  6  8  4
  6  2  4  3  4  5  6  0  1  5
  5  2  2  9  5  5  8  1  0  4
  1  7  6  4  7  5  4  5  4  0

