
 10
  0  52 999 999   8  17  10 999   9  53
 52   0   8  53  52 999  34  89  85  37
999   8   0  25  20  61 999  45  41  25
999  53  25   0  25  36  25  40 999  80
  8  52  20  25   0  13   2   5   5  25
 17 999  61  36  13   0  25 999   2  68
 10  34 999  25   2  25   0  13  13  17
999  89  45  40   5 999  13   0   2  40
  9  85  41 999   5   2  13   2   0  50
 53  37  25  80  25  68  17  40  50   0
 
  0   5   7   6   3   1   4   3   0   8
  5   0   5   6   2   8   7   2   8   9
  7   5   0   9   6   3   3   2   7   0
  6   6   9   0   7   5   9   4   5   1
  3   2   6   7   0   4   6   1   7   5
  1   8   3   5   4   0   7   3   4   7
  4   7   3   9   6   7   0   0   2   9
  3   2   2   4   1   3   0   0   3   6
  0   8   7   5   7   4   2   3   0   7
  8   9   0   1   5   7   9   6   7   0
 
  0   4   6   6   5   6   1   0   3   5
  2   3   6   7   4   0   8   5   4   7
  5   7   9   6   5   1   2   0   3   4
  4   3   9   3   5   5   4   2   8   9
  6   6   2   0   7   2   1   7   8   0
  8   3   6   1   5   0   0   3   9   1
  1   5   5   1   2   3   7   5   5   1
  7   2   9   2   8   1   7   6   8   8
  3   4   0   4   0   6   9   1   0   1
  8   6   6   7   4   5   9   2   7   6
