
 10
  0  36   5   9  50 999   5  40 999  25
 36   0  65   9   2  26  65 999  20 999
  5  65   0 999  81  13 999  65  25  34
  9   9 999   0  17   5  26  13   5  16
 50   2  81  17   0  40 999   2  34  25
999  26  13   5  40   0 999  34   2  29
  5  65 999  26 999 999   0  73  17 999
 40 999  65  13   2  34  73   0  32  13
999  20  25   5  34   2  17  32   0  37
 25 999  34  16  25  29 999  13  37   0
 
  0   2   2   7   2   7   2   2   3   4
  2   0   3   9   1   7   4   5   9   2
  2   3   0   8   8   2   8   3   1   7
  7   9   8   0   0   4   7   1   4   2
  2   1   8   0   0   7   3   2   3   2
  7   7   2   4   7   0   5   3   2   4
  2   4   8   7   3   5   0   0   6   9
  2   5   3   1   2   3   0   0   2   5
  3   9   1   4   3   2   6   2   0   8
  4   2   7   2   2   4   9   5   8   0
 
  5   6   0   2   0   0   0   1   3   2
  5   8   7   6   5   6   9   4   4   0
  3   4   3   3   6   0   9   5   8   2
  6   4   6   1   2   4   4   6   5   8
  9   1   3   3   5   2   4   4   1   6
  9   7   4   1   8   9   3   4   8   1
  5   2   4   9   2   1   1   5   2   1
  8   8   7   1   5   1   0   8   1   1
  2   7   8   2   0   2   5   8   9   6
  7   1   7   4   3   1   1   5   4   3
