
 10
  0  20  20   5  34  17  20   4  32  13
 20   0  64  25 106  73  40  40 100   5
 20  64   0  41  26   9  72   8  36  37
  5  25  41   0  37  26   5  13  29  26
 34 106  26  37   0   5  50  18   2  85
 17  73   9  26   5   0  45   5   9  52
 20  40  72   5  50  45   0  32  36  49
  4  40   8  13  18   5  32   0  20  25
 32 100  36  29   2   9  36  20   0  85
 13   5  37  26  85  52  49  25  85   0
 
  0   3   9   1   6   8   9   8   5   5
  3   0   3   9   6   4   6   2   1   4
  9   3   0   5   1   0   9   8   7   6
  1   9   5   0   4   0   3   0   3   1
  6   6   1   4   0   6   3   3   5   7
  8   4   0   0   6   0   2   5   4   5
  9   6   9   3   3   2   0   0   5   3
  8   2   8   0   3   5   0   0   8   9
  5   1   7   3   5   4   5   8   0   1
  5   4   6   1   7   5   3   9   1   0
 
  2   8   8   7   3   2   7   6   3   5
  5   1   3   5   8   2   3   6   2   6
  1   2   4   7   5   1   8   0   9   2
  3   8   7   4   2   4   1   4   9   4
  4   3   0   3   3   7   4   3   1   1
  2   0   1   3   5   6   6   1   8   8
  5   3   2   0   6   4   6   0   2   4
  7   5   7   1   3   3   9   4   0   6
  1   6   3   9   5   7   9   9   8   1
  4   8   4   3   9   6   6   7   1   8
