
 10
  0  34  50  72  90   5  65 117  73 106
 34   0  32  10  16  13  13  25   9  20
 50  32   0  26  80  37  85  65  65  68
 72  10  26   0  18  41  29   9  13  10
 90  16  80  18   0  53   5   9   1   4
  5  13  37  41  53   0  36  74  40  65
 65  13  85  29   5  36   0  26   4  17
117  25  65   9   9  74  26   0  10   1
 73   9  65  13   1  40   4  10   0   5
106  20  68  10   4  65  17   1   5   0
 
  0   9   5   5   2   5   4   4   2   3
  9   0   9   1   2   1   3   2   9   7
  5   9   0   2   3   8   3   8   1   6
  5   1   2   0   9   6   4   9   4   5
  2   2   3   9   0   1   2   6   2   9
  5   1   8   6   1   0   6   2   6   0
  4   3   3   4   2   6   0   0   7   1
  4   2   8   9   6   2   0   0   3   5
  2   9   1   4   2   6   7   3   0   7
  3   7   6   5   9   0   1   5   7   0
 
  3   4   3   4   8   4   3   0   3   8
  9   8   4   1   2   6   9   1   6   8
  4   1   9   1   2   8   2   0   4   9
  1   8   8   8   1   2   3   5   6   8
  0   5   2   8   2   1   1   5   2   4
  0   6   1   3   8   8   4   4   1   3
  1   2   7   5   4   4   7   1   9   7
  1   7   5   9   1   2   3   4   2   9
  6   7   0   6   8   6   8   5   6   0
  6   4   8   0   4   2   1   0   1   4
