param n  := 5;
param a  : 1 2 3 4 5 := 
1 6.184602414050112 5.0 2.0 4.0 1.0
2 5.0 9.983514442278288 3.0 0.0 2.0
3 2.0 3.0 1.1415863841516325 0.0 0.0
4 4.0 0.0 0.0 9.093921158569591 5.0
5 1.0 2.0 0.0 5.0 6.097982195876557
;
param b  : 1 2 3 4 5 := 
1 4.099999144877733 1.0 1.0 2.0 3.0
2 1.0 2.099999732423816 2.0 1.0 2.0
3 1.0 2.0 2.0999997324238158 1.0 2.0
4 2.0 1.0 1.0 2.099999482759971 1.0
5 3.0 2.0 2.0 1.0 4.099999733492603
;
param c  : 1 2 3 4 5 := 
1 -25.356864609014227 -12.987663414652923 -12.987663414652921 -12.987661870581304 -25.35686824936317
2 -40.93240067621548 -20.96537765743371 -20.965377657433706 -20.965375164911105 -40.93240655266054
3 -4.680503198825757 -2.3973311012571 -2.3973311012570995 -2.3973308162442537 -4.680503870780478
4 -37.28506897372085 -19.097231999679423 -19.09723199967942 -19.0972297292561 -37.285074326538066
5 -25.001721788573526 -12.805760979665964 -12.805760979665962 -12.805759457220281 -25.00172537793652
;
param s  : 1 2 3 4 5 := 
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0
5 0.0 0.0 0.0 0.0 0.0
;
param t  : 1 2 3 4 5 := 
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0
5 0.0 0.0 0.0 0.0 0.0
;
