
 10
  0  29   4  45   5  37  61   8   2  18
 29   0  25  20  52  32  16  25  45  65
  4  25   0  25  17  17  41  20  10  10
 45  20  25   0  80   4   4  65  65  45
  5  52  17  80   0  68 100   9   1  29
 37  32  17   4  68   0  16  65  53  25
 61  16  41   4 100  16   0  73  85  73
  8  25  20  65   9  65  73   0  10  50
  2  45  10  65   1  53  85  10   0  20
 18  65  10  45  29  25  73  50  20   0
 
  0   2   2   8   2   1   0   2   2   5
  2   0   7   6   4   6   6   8   7   7
  2   7   0   1   4   0   3   9   7   3
  8   6   1   0   2   3   0   3   6   2
  2   4   4   2   0   0   8   7   9   4
  1   6   0   3   0   0   7   1   6   3
  0   6   3   0   8   7   0   5   0   9
  2   8   9   3   7   1   5   0   4   7
  2   7   7   6   9   6   0   4   0   5
  5   7   3   2   4   3   9   7   5   0
 
  7   0   8   3   9   1   0   1   1   8
  1   5   9   1   7   2   9   8   3   6
  4   7   0   4   6   6   5   6   1   0
  3   5   2   3   6   7   4   0   8   5
  4   7   5   7   9   6   5   1   2   0
  3   4   4   3   9   3   5   5   4   2
  8   9   6   6   2   0   7   2   1   7
  8   0   8   3   6   1   5   0   0   3
  9   1   1   5   5   1   2   3   7   5
  5   1   7   2   9   2   8   1   7   6
