
 10
  0  40  34   1  10   1  49  17   4  74
 40   0  18  45  10  37   5  13  20  26
 34  18   0  45  16  25  41  37  26   8
  1  45  45   0  13   4  50  16   5  89
 10  10  16  13   0   9  17   5   2  40
  1  37  25   4   9   0  50  20   5  61
 49   5  41  50  17  50   0  10  25  53
 17  13  37  16   5  20  10   0   5  65
  4  20  26   5   2   5  25   5   0  58
 74  26   8  89  40  61  53  65  58   0
 
  0   8   4   1   2   4   1   3   6   4
  8   0   4   3   7   7   7   4   8   8
  4   4   0   1   5   1   5   2   6   0
  1   3   1   0   4   9   9   9   8   4
  2   7   5   4   0   7   1   6   5   2
  4   7   1   9   7   0   2   7   6   1
  1   7   5   9   1   2   0   0   0   0
  3   4   2   9   6   7   0   0   6   1
  6   8   6   8   5   6   0   6   0   4
  4   8   0   4   2   1   0   1   4   0
 
  3   2   2   2   4   4   8   1   4   9
  2   4   1   1   4   5   5   8   8   2
  6   7   4   7   0   3   7   1   1   6
  9   4   2   9   9   8   4   2   7   3
  4   7   3   9   2   3   6   1   0   8
  6   7   2   9   5   7   2   9   5   3
  9   8   1   1   0   5   2   8   8   6
  5   6   7   4   1   8   6   9   1   8
  0   4   0   0   9   7   5   6   7   6
  0   8   6   2   9   6   4   7   9   4
