
 10
  0  29   2   5  40  53   8 999  13   5
 29   0  45  32 999  90   9  25   4  36
  2  45   0   5  58  45  18 999  25 999
  5  32   5   0  41  26  17  17  20  20
 40 999  58  41   0  97  16  26   9 999
 53  90  45  26  97   0 999  25  82  90
  8   9  18  17  16 999   0  34   1   9
999  25 999  17  26  25  34   0  29  61
 13   4  25  20   9  82   1  29   0  16
  5  36 999  20 999  90   9  61  16   0
 
  0   1   4   4   1   7   1   9   2   5
  1   0   5   1   5   0   3   6   9   7
  4   5   0   5   0   5   2   8   0   5
  4   1   5   0   1   7   9   6   2   6
  1   5   0   1   0   3   5   7   9   6
  7   0   5   7   3   0   5   6   0   9
  1   3   2   9   5   5   0   9   1   3
  9   6   8   6   7   6   9   0   5   2
  2   9   0   2   9   0   1   5   0   6
  5   7   5   6   6   9   3   2   6   0
 
  0   7   3   1   6   4   8   3   3   1
  5   3   4   6   9   4   4   4   7   0
  3   8   5   0   9   0   6   8   3   7
  1   3   2   2   7   8   6   1   2   4
  4   2   1   6   0   3   0   0   6   3
  0   8   7   2   8   9   3   7   1   5
  2   7   7   6   9   6   0   4   5   7
  3   2   4   3   9   7   5   7   0   8
  3   9   1   0   1   1   8   1   5   9
  1   7   2   9   8   3   6   4   7   0
