30

0 2 2 2 2 2 2 2 3 0 3 2 0 0 0 3 3 0 0 2 1 2 1 1 0 3 0 0 0 0 
2 0 2 2 3 2 3 2 0 0 2 1 0 0 2 3 3 0 0 2 1 2 1 1 0 3 0 0 0 0 
2 2 0 2 2 3 0 0 0 0 2 2 0 0 2 3 3 0 0 2 1 2 1 1 0 3 0 0 0 0 
2 2 2 0 2 2 3 1 0 0 2 1 0 0 4 3 3 0 0 2 1 2 1 1 0 3 0 0 0 0 
2 3 2 2 0 2 3 2 0 0 2 1 0 0 2 3 3 0 0 2 1 2 1 1 0 3 0 0 0 0 
2 2 3 2 2 0 0 0 0 0 2 2 0 0 2 3 3 0 0 2 1 2 1 1 0 3 0 0 0 0 
2 3 0 3 3 0 0 4 4 3 3 0 4 0 0 2 2 0 0 3 4 1 0 0 0 0 0 0 0 0 
2 2 0 1 2 0 4 0 0 0 0 2 0 0 0 3 3 0 0 3 1 1 0 0 0 0 0 0 0 0 
3 0 0 0 0 0 4 0 0 0 0 1 4 0 0 2 2 0 0 2 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 4 0 0 
3 2 2 2 2 2 3 0 0 0 0 3 4 0 0 3 3 0 0 0 1 2 0 0 0 2 0 0 0 0 
2 1 2 1 1 2 0 2 1 0 3 0 3 0 0 1 1 0 0 0 0 2 2 0 0 0 0 0 0 0 
0 0 0 0 0 0 4 0 4 0 4 3 0 4 0 3 3 0 0 2 1 1 1 0 0 0 0 4 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 4 0 0 0 1 0 0 0 3 0 0 0 0 
0 2 2 4 2 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 3 0 2 0 0 
3 3 3 3 3 3 2 3 2 0 3 1 3 0 1 0 4 2 0 0 0 1 0 0 0 2 0 0 0 0 
3 3 3 3 3 3 2 3 2 0 3 1 3 0 1 4 0 2 0 0 0 1 0 0 0 2 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 2 0 0 0 0 1 0 0 2 4 4 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 
2 2 2 2 2 2 3 3 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 
1 1 1 1 1 1 4 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 4 0 
2 2 2 2 2 2 1 1 1 1 2 2 1 1 2 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 
1 1 1 1 1 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 4 0 
1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 4 0 0 0 0 
3 3 3 3 3 3 0 0 0 0 2 0 0 3 3 2 2 4 0 0 0 0 0 0 4 0 0 0 0 4 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 4 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 0 4 4 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 

0 10 20 10 20 30 20 30 40 30 40 50 40 50 60 23 33 43 33 43 53 43 53 63 53 63 73 63 73 83 
10 0 10 20 10 20 30 20 30 40 30 40 50 40 50 33 23 33 43 33 43 53 43 53 63 53 63 73 63 73 
20 10 0 30 20 10 40 30 20 50 40 30 60 50 40 43 33 23 53 43 33 63 53 43 73 63 53 83 73 63 
10 20 30 0 10 20 10 20 30 20 30 40 30 40 50 33 43 53 23 33 43 33 43 53 43 53 63 53 63 73 
20 10 20 10 0 10 20 10 20 30 20 30 40 30 40 43 33 43 33 23 33 43 33 43 53 43 53 63 53 63 
30 20 10 20 10 0 30 20 10 40 30 20 50 40 30 53 43 33 43 33 23 53 43 33 63 53 43 73 63 53 
20 30 40 10 20 30 0 10 20 10 20 30 20 30 40 43 53 63 33 43 53 23 33 43 33 43 53 43 53 63 
30 20 30 20 10 20 10 0 10 20 10 20 30 20 30 53 43 53 43 33 43 33 23 33 43 33 43 53 43 53 
40 30 20 30 20 10 20 10 0 30 20 10 40 30 20 63 53 43 53 43 33 43 33 23 53 43 33 63 53 43 
30 40 50 20 30 40 10 20 30 0 10 20 10 20 30 53 63 73 43 53 63 33 43 53 23 33 43 33 43 53 
40 30 40 30 20 30 20 10 20 10 0 10 20 10 20 63 53 63 53 43 53 43 33 43 33 23 33 43 33 43 
50 40 30 40 30 20 30 20 10 20 10 0 30 20 10 73 63 53 63 53 43 53 43 33 43 33 23 53 43 33 
