param n  := 16;
param a  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 := 
1 36.099998081639754 1.0 2.0 2.0 3.0 4.0 4.0 5.0 3.0 5.0 6.0 7.0 8.0 9.0 7.0 8.0
2 1.0 34.099998169875235 1.0 1.0 2.0 3.0 3.0 4.0 2.0 4.0 5.0 6.0 7.0 8.0 6.0 7.0
3 2.0 1.0 28.099998538895317 2.0 1.0 2.0 2.0 3.0 1.0 3.0 4.0 5.0 6.0 7.0 5.0 6.0
4 2.0 1.0 2.0 26.099998699787584 1.0 2.0 2.0 3.0 3.0 3.0 4.0 5.0 6.0 7.0 5.0 6.0
5 3.0 2.0 1.0 1.0 20.099999204686 1.0 1.0 2.0 2.0 2.0 3.0 4.0 5.0 6.0 4.0 5.0
6 4.0 3.0 2.0 2.0 1.0 8.10000150340961 2.0 3.0 3.0 1.0 2.0 3.0 4.0 5.0 3.0 4.0
7 4.0 3.0 2.0 2.0 1.0 2.0 6.100002172823637 1.0 3.0 1.0 2.0 3.0 4.0 5.0 3.0 4.0
8 5.0 4.0 3.0 3.0 2.0 3.0 1.0 8.100001591427034 4.0 2.0 1.0 2.0 3.0 4.0 2.0 3.0
9 3.0 2.0 1.0 3.0 2.0 3.0 3.0 4.0 30.099998404597656 4.0 5.0 6.0 7.0 8.0 6.0 7.0
10 5.0 4.0 3.0 3.0 2.0 1.0 1.0 2.0 4.0 6.100002357609303 1.0 2.0 3.0 4.0 2.0 3.0
11 6.0 5.0 4.0 4.0 3.0 2.0 2.0 1.0 5.0 1.0 20.099999250433306 1.0 2.0 3.0 1.0 2.0
12 7.0 6.0 5.0 5.0 4.0 3.0 3.0 2.0 6.0 2.0 1.0 26.099998736631246 1.0 2.0 2.0 3.0
13 8.0 7.0 6.0 6.0 5.0 4.0 4.0 3.0 7.0 3.0 2.0 1.0 34.09999818368818 1.0 1.0 2.0
14 9.0 8.0 7.0 7.0 6.0 5.0 5.0 4.0 8.0 4.0 3.0 2.0 1.0 38.09999805399431 2.0 1.0
15 7.0 6.0 5.0 5.0 4.0 3.0 3.0 2.0 6.0 2.0 1.0 2.0 1.0 2.0 28.099998569602704 1.0
16 8.0 7.0 6.0 6.0 5.0 4.0 4.0 3.0 7.0 3.0 2.0 3.0 2.0 1.0 1.0 32.09999825298481
;
param b  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 := 
1 14.038761484983489 3.0 4.0 6.0 8.0 5.0 6.0 6.0 5.0 1.0 4.0 6.0 1.0 5.0 4.0 5.0
2 3.0 19.4281727223466 6.0 3.0 7.0 9.0 9.0 2.0 2.0 7.0 4.0 7.0 9.0 6.0 3.0 2.0
3 4.0 6.0 12.074356406719616 2.0 6.0 4.0 4.0 4.0 2.0 6.0 3.0 6.0 5.0 6.0 2.0 6.0
4 6.0 3.0 2.0 13.723451249303256 5.0 5.0 3.0 3.0 9.0 4.0 3.0 6.0 3.0 4.0 7.0 8.0
5 8.0 7.0 6.0 5.0 12.605221815786031 4.0 3.0 4.0 5.0 7.0 6.0 7.0 7.0 3.0 3.0 3.0
6 5.0 9.0 4.0 5.0 4.0 12.52451853468464 8.0 5.0 5.0 5.0 7.0 5.0 1.0 8.0 5.0 4.0
7 6.0 9.0 4.0 3.0 3.0 8.0 19.66032024223127 6.0 8.0 4.0 6.0 7.0 1.0 8.0 5.0 6.0
