
 10
  0  36  41  40  53  50  45  37   1  26
 36   0  29  52   5   2   9   1  25  50
 41  29   0   5  58  45  68  20  34   9
 40  52   5   0  89  74  97  41  37   2
 53   5  58  89   0   1   2  10  40  85
 50   2  45  74   1   0   5   5  37  72
 45   9  68  97   2   5   0  16  34  89
 37   1  20  41  10   5  16   0  26  41
  1  25  34  37  40  37  34  26   0  25
 26  50   9   2  85  72  89  41  25   0
 
  0   8   1   3   4   3   5   7   1   2
  8   0   8   9   0   2   4   8   0   2
  1   8   0   9   7   1   5   6   8   1
  3   9   9   0   5   1   2   9   9   3
  4   0   7   5   0   6   7   0   0   9
  3   2   1   1   6   0   5   0   3   9
  5   4   5   2   7   5   0   7   6   5
  7   8   6   9   0   0   7   0   2   8
  1   0   8   9   0   3   6   2   0   5
  2   2   1   3   9   9   5   8   5   0
 
  6   6   0   9   9   6   5   2   9   9
  7   1   7   1   2   1   3   7   5   6
  4   9   7   4   9   3   9   8   3   2
  6   0   2   9   4   4   4   6   0   6
  8   2   3   1   9   3   8   0   2   4
  6   0   8   7   2   3   9   3   1   9
  5   6   6   1   4   8   4   0   0   6
  9   6   9   3   3   2   8   2   8   0
  3   5   0   5   1   7   3   5   4   5
  8   5   4   6   1   7   5   3   9   1
